Sample,MOL,Count
08-1,11,56
08-1,14,24
08-1,36,54
08-1,6,32
08-1,9,46
08-1,97,52
08-2,11,63
08-2,14,47
08-2,36,50
08-2,9,67
08-2,95,37
08-2,6,48
14-1,11,56
14-1,14,55
14-1,36,73
14-1,6,47
14-1,9,29
14-1,95,127
14-2,11,55
14-2,14,42
14-2,36,73
14-2,6,45
14-2,9,50
14-2,95,103
17-1,10,59
17-1,100,55
17-1,13,58
17-1,16,68
17-1,36,89
17-1,6,35
17-1,97,49
17-2,11,45
17-2,13,47
17-2,16,74
17-2,36,83
17-2,6,40
17-2,99,133
19-1,10,48
19-1,12,48
19-1,16,52
19-1,35,80
19-1,6,46
19-1,95,115
19-2,10,51
19-2,12,56
19-2,16,60
19-2,36,70
19-2,6,23
19-2,95,92
20-1,11,30
20-1,14,59
20-1,35,103
20-1,5,28
20-1,8,25
20-1,97,102
20-2,0,4
20-2,10,34
20-2,11,26
20-2,12,40
20-2,13,41
20-2,14,52
20-2,15,44
20-2,18,52
20-2,2,16
20-2,22,58
20-2,23,52
20-2,35,51
20-2,39,80
20-2,47,78
20-2,5,20
20-2,54,59
20-2,64,62
20-2,76,67
20-2,88,75
20-2,9,27
20-2,97,122
29-1,10,29
29-1,11,32
29-1,12,25
29-1,13,29
29-1,14,33
29-1,15,33
29-1,17,31
29-1,18,40
29-1,20,49
29-1,23,37
29-1,33,71
29-1,42,43
29-1,47,55
29-1,53,53
29-1,6,17
29-1,67,36
29-1,76,51
29-1,8,24
29-1,88,52
29-1,9,18
29-1,95,79
29-2,10,25
29-2,14,41
29-2,17,71
29-2,36,75
29-2,6,20
29-2,95,81
39-1,11,42
39-1,14,45
39-1,36,87
39-1,8,40
39-1,94,94
39-2,1,10
39-2,10,50
39-2,11,60
39-2,13,43
39-2,14,76
39-2,18,59
39-2,20,52
39-2,24,65
39-2,3,23
39-2,36,91
39-2,41,76
39-2,47,87
39-2,52,79
39-2,66,81
39-2,7,39
39-2,74,79
39-2,8,38
39-2,88,72
39-2,94,91
40-1,13,51
40-1,15,37
40-1,35,131
40-1,6,41
40-1,9,76
40-1,93,122
40-2,10,73
40-2,13,74
40-2,16,67
40-2,35,80
40-2,6,39
40-2,94,75
43-1,1,29
43-1,10,19
43-1,11,51
43-1,12,49
43-1,14,48
43-1,16,68
43-1,17,59
43-1,2,33
43-1,21,45
43-1,24,85
43-1,34,66
43-1,40,58
43-1,46,66
43-1,54,38
43-1,66,59
43-1,7,44
43-1,73,68
43-1,8,54
43-1,81,71
43-1,90,69
43-2,12,52
43-2,15,64
43-2,36,72
43-2,7,34
43-2,8,32
43-2,94,57
47-1,10,70
47-1,13,63
47-1,17,32
47-1,37,103
47-1,7,67
47-1,88,53
47-2,10,65
47-2,13,66
47-2,17,54
47-2,37,93
47-2,7,56
47-2,88,62