MAG,Group,MOL
08-1_97x8-1_late__08-1_97.002.LR_stool,Mother,0
39-1_36_LKVx39-1_36_LKV.002.SR_plate,Mother,0
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool,Mother,0
08-1_97x8-1_late__08-1_97.013.LR_stool,Mother,0
08-2_N6_LKVx08-2_N6_LKV.002.SR_plate,Mother,0
14-1_11x12.LR_stool,Mother,0
14-1_11x14-1_early__14-1_11.009_sub.LR_stool,Mother,0
14-1_14xbin.11.LR_stool,Mother,0
14-1_6xbin.8.LR_stool,Mother,0
14-2_6_BAPx14-2_6_BAP.003.SR_plate,Mother,0
17-1_N10_BAPxbin.4.SR_plate,Mother,0
17-2_6_LKVx17-2_6_LKV.001.SR_plate,Mother,0
29-2_17x38.LR_stool,Mother,0
47-2_10_DPx7.LR_plate,Mother,0
47-2_17_DPx39.LR_plate,Mother,0
C047-M00xC047__C047-M00.003.LR_stool,Mother,0
C008-M36_LKVxC008-M36_LKV.001.SR_plate,Mother,0
C017-M23xC017__C017-M23.021.LR_stool,Mother,0
C017-M36xC017-M36.015.SR_stool,Mother,0
20-2_14x16.SR_stool,Mother,0
20-2_18_LKVx20-2_18_LKV.001.SR_plate,Mother,0
C020-M07_BAPx59.SR_plate,Mother,0
C020-M24xC020__C020-M24.001.LR_stool,Mother,0
C020-M36xC020-M36.033.SR_stool,Mother,0
8-2_14_DP_LKVx8-2_14_DP_LKV.003.SR_plate,Mother,0
C020-M07x135_sub.SR_stool,Mother,0
C039-M24_stoolxbin.5.SR_stool,Mother,0
29-1_20x29-1_20.023.SR_stool,Mother,0
20-2_23_LKVx20-2_23_LKV.002.SR_plate,Mother,0
C039-M06_WCxbin.6.SR_plate,Mother,0
29-1_76_LKVx29-1_76_LKV.001.SR_plate,Mother,0
29-2_36_LKVxbin.3_sub.SR_plate,Mother,0
29-2_95x29-2_late__29-2_95.007.LR_stool,Mother,0
29-1_95x25.SR_stool,Mother,0
29-1_33_BAPx2.SR_plate,Mother,0
20-2_97x30.LR_stool,Mother,0
40-1_35x36_sub.LR_stool,Mother,0
C040-M06x67.SR_stool,Mother,0
47-1_37_stoolxbin.62_sub.SR_stool,Mother,0
C047-M24_stoolx85.SR_stool,Mother,0
C039-M06xbin.66.LR_stool,Mother,0
C039-M06_WCxC039-M06_WC.007_sub.SR_plate,Mother,0
C040-M06_LKVxC040-M06_LKV.001.SR_plate,Mother,0
14-2_95x68_sub.LR_stool,Mother,0
C017-M36xbin.90.SR_stool,Mother,0
C008-M00x22.LR_stool,Mother,0
43-1_12_LKVxbin.5_sub.SR_plate,Mother,1
43-1_73_LKVxbin.4.SR_plate,Mother,1
17-1_16xbin.40_sub.LR_stool,Mother,6
17-2_N11_stoolx17-2_N11_stool.027_sub.SR_stool,Mother,6
47-2_17_DP_LKVx18_sub.SR_plate,Mother,7
17-2_99_LKVx17-2_99_LKV.003.SR_plate,Mother,23
C017-M23_stoolxbin.11.SR_stool,Mother,23
39-2_52xbin.56.SR_stool,Mother,24
40-2_10_DP_LKVx30.SR_plate,Mother,36
17-2_99xbin.79.LR_stool,Mother,36
cat_20-2_76x38.LR_plate,Mother,36
08-1_6_LKVx8.SR_plate,Mother,6
C047-M24_stoolxbin.72.SR_stool,Mother,7
40-2_35x40-2_35_LKV_40-2_35_LKV.001.LR_plate,Mother,36
08-1_97x8-1_late__08-1_97.002.LR_stool,Infant,9
39-1_36_LKVx39-1_36_LKV.002.SR_plate,Infant,36
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool,Infant,6
08-1_97x8-1_late__08-1_97.013.LR_stool,Infant,6
08-2_N6_LKVx08-2_N6_LKV.002.SR_plate,Infant,6
14-1_11x12.LR_stool,Infant,6
14-1_11x14-1_early__14-1_11.009_sub.LR_stool,Infant,6
14-1_14xbin.11.LR_stool,Infant,6
14-1_6xbin.8.LR_stool,Infant,6
14-2_6_BAPx14-2_6_BAP.003.SR_plate,Infant,6
17-1_N10_BAPxbin.4.SR_plate,Infant,6
17-2_6_LKVx17-2_6_LKV.001.SR_plate,Infant,6
29-2_17x38.LR_stool,Infant,6
47-2_10_DPx7.LR_plate,Infant,7
47-2_17_DPx39.LR_plate,Infant,7
C047-M00xC047__C047-M00.003.LR_stool,Infant,7
C008-M36_LKVxC008-M36_LKV.001.SR_plate,Infant,9
C017-M23xC017__C017-M23.021.LR_stool,Infant,10
C017-M36xC017-M36.015.SR_stool,Infant,10
20-2_14x16.SR_stool,Infant,11
20-2_18_LKVx20-2_18_LKV.001.SR_plate,Infant,11
C020-M07_BAPx59.SR_plate,Infant,11
C020-M24xC020__C020-M24.001.LR_stool,Infant,11
C020-M36xC020-M36.033.SR_stool,Infant,12
8-2_14_DP_LKVx8-2_14_DP_LKV.003.SR_plate,Infant,14
C020-M07x135_sub.SR_stool,Infant,14
C039-M24_stoolxbin.5.SR_stool,Infant,14
29-1_20x29-1_20.023.SR_stool,Infant,17
20-2_23_LKVx20-2_23_LKV.002.SR_plate,Infant,18
C039-M06_WCxbin.6.SR_plate,Infant,20
29-1_76_LKVx29-1_76_LKV.001.SR_plate,Infant,23
29-2_36_LKVxbin.3_sub.SR_plate,Infant,23
29-2_95x29-2_late__29-2_95.007.LR_stool,Infant,23
29-1_95x25.SR_stool,Infant,33
29-1_33_BAPx2.SR_plate,Infant,33
20-2_97x30.LR_stool,Infant,35
40-1_35x36_sub.LR_stool,Infant,35
C040-M06x67.SR_stool,Infant,35
47-1_37_stoolxbin.62_sub.SR_stool,Infant,37
C047-M24_stoolx85.SR_stool,Infant,37
C039-M06xbin.66.LR_stool,Infant,52
C039-M06_WCxC039-M06_WC.007_sub.SR_plate,Infant,66
C040-M06_LKVxC040-M06_LKV.001.SR_plate,Infant,93
14-2_95x68_sub.LR_stool,Infant,95
C017-M36xbin.90.SR_stool,Infant,97
C008-M00x22.LR_stool,Infant,97
43-1_12_LKVxbin.5_sub.SR_plate,Infant,7
43-1_73_LKVxbin.4.SR_plate,Infant,46
17-1_16xbin.40_sub.LR_stool,Infant,10
17-2_N11_stoolx17-2_N11_stool.027_sub.SR_stool,Infant,10
47-2_17_DP_LKVx18_sub.SR_plate,Infant,37
17-2_99_LKVx17-2_99_LKV.003.SR_plate,Infant,97
C017-M23_stoolxbin.11.SR_stool,Infant,97
39-2_52xbin.56.SR_stool,Infant,52
40-2_10_DP_LKVx30.SR_plate,Infant,9
17-2_99xbin.79.LR_stool,Infant,16
cat_20-2_76x38.LR_plate,Infant,22
08-1_6_LKVx8.SR_plate,Infant,6
C047-M24_stoolxbin.72.SR_stool,Infant,7
40-2_35x40-2_35_LKV_40-2_35_LKV.001.LR_plate,Infant,35