MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C020-M24xbin.44.SR_stool.fasta,0.583333333,0.000
C020-M24xbin.44.SR_stool.fasta,2,0.000
C020-M24xbin.44.SR_stool.fasta,3,0.000
C020-M24xbin.69.LR_stool.fasta,0,0.000
C020-M24xbin.69.LR_stool.fasta,1,1.279
C020-M24xC020__C020-M24.001.LR_stool.fasta,0,0.000
C020-M24xC020__C020-M24.001.LR_stool.fasta,2,6.676
C020-M24xC020__C020-M24.004.LR_stool.fasta,0,0.000
C020-M24xC020__C020-M24.004.LR_stool.fasta,1,9.956
C020-M24xC020-M24.021.SR_stool.fasta,0,0.000
C020-M24xC020-M24.021.SR_stool.fasta,1,1.041
C020-M36x162.SR_stool.fasta,0,0.000
C020-M36x162.SR_stool.fasta,2,1.622
C020-M36x167.SR_stool.fasta,0,0.000
C020-M36x167.SR_stool.fasta,1,0.000
C020-M36x44.SR_stool.fasta,0,0.000
C020-M36x44.SR_stool.fasta,1,0.000
C020-M36x63.SR_stool.fasta,0,0.000
C020-M36x63.SR_stool.fasta,2,2.423
C020-M36x63.SR_stool.fasta,3,16.478
C020-M36x99.SR_stool.fasta,0,0.000
C020-M36x99.SR_stool.fasta,1,0.000
C020-M36xbin.50.LR_stool.fasta,0,0.000
C020-M36xbin.50.LR_stool.fasta,0.583333333,5.404
C020-M36xbin.50.LR_stool.fasta,2,9.502
C020-M36xbin.51.LR_stool.fasta,0,0.000
C020-M36xbin.51.LR_stool.fasta,1,5.670
C020-M36xbin.74.SR_stool.fasta,0,0.000
C020-M36xbin.74.SR_stool.fasta,1,6.977
C020-M36xC020-M36.033.SR_stool.fasta,0,0.000
C020-M36xC020-M36.033.SR_stool.fasta,0.583333333,0.000
C020-M36xC020-M36.033.SR_stool.fasta,2,5.558
C020-M36xC020-M36.033.SR_stool.fasta,3,12.828
C029-M00_BAPxC029-M00_BAP.001_sub.SR_plate.fasta,0,0.000
C029-M00_BAPxC029-M00_BAP.001_sub.SR_plate.fasta,2,2.701
C029-M00_stoolx106.SR_stool.fasta,0,0.000
C029-M00_stoolx106.SR_stool.fasta,0.5,0.000
C029-M00_stoolx124.SR_stool.fasta,0,0.000
C029-M00_stoolx124.SR_stool.fasta,0.5,0.000
C029-M00_stoolx129.SR_stool.fasta,0,0.000
C029-M00_stoolx129.SR_stool.fasta,0.5,4.057
C029-M00_stoolx129.SR_stool.fasta,2,5.437
C029-M00_stoolx136.SR_stool.fasta,0,0.000
C029-M00_stoolx136.SR_stool.fasta,0.5,1.603
C029-M00_stoolx5.SR_stool.fasta,0,0.000
C029-M00_stoolx5.SR_stool.fasta,0.5,3.774
C029-M00_stoolxbin.30.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.30.SR_stool.fasta,3,2.619
C029-M00_stoolxbin.39_sub.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.39_sub.SR_stool.fasta,3,7.791
C029-M00_stoolxbin.62.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.62.SR_stool.fasta,0.5,0.000
C029-M00_stoolxbin.70.SR_stool.fasta,0,0.000
C029-M00_stoolxbin.70.SR_stool.fasta,3,0.000
C029-M00_stoolxC029-M00_stool.036.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.036.SR_stool.fasta,3,1.691
C029-M00_stoolxC029-M00_stool.039.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.039.SR_stool.fasta,0.5,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,0.5,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,2,0.000
C029-M00_stoolxC029-M00_stool.043.SR_stool.fasta,3,0.000
C029-M00_stoolxC029-M00_stool.067.SR_stool.fasta,0,0.000
C029-M00_stoolxC029-M00_stool.067.SR_stool.fasta,0.5,0.000
C029-M00x29.LR_stool.fasta,0,0.000
C029-M00x29.LR_stool.fasta,0.5,0.910
C029-M00x47.LR_stool.fasta,0,0.000
C029-M00x47.LR_stool.fasta,0.5,1.111
C029-M06x30.SR_stool.fasta,0,0.000
C029-M06x30.SR_stool.fasta,0.5,7.274
C029-M06x30.SR_stool.fasta,3,9.869
C029-M06x48.SR_stool.fasta,0,0.000
C029-M06x48.SR_stool.fasta,0.5,0.000
C029-M06x50.LR_stool.fasta,0,0.000
C029-M06x50.LR_stool.fasta,1.5,2.193
C029-M06x71.SR_stool.fasta,0,0.000
C029-M06x71.SR_stool.fasta,0.5,0.000
C029-M06x71.SR_stool.fasta,2,0.000
C029-M06x91_sub.SR_stool.fasta,0,0.000
C029-M06x91_sub.SR_stool.fasta,0.5,1.633
C029-M06xbin.21_sub.LR_stool.fasta,0,0.000
C029-M06xbin.21_sub.LR_stool.fasta,0.5,0.000
C029-M06xbin.21_sub.LR_stool.fasta,3,0.000
C029-M06xbin.30.SR_stool.fasta,0,0.000
C029-M06xbin.30.SR_stool.fasta,3,8.038
C029-M06xbin.54.LR_stool.fasta,0,0.000
C029-M06xbin.54.LR_stool.fasta,0.5,0.000
C029-M06xC029_FIXED__C029-M06.004.LR_stool.fasta,0,0.000
C029-M06xC029_FIXED__C029-M06.004.LR_stool.fasta,0.5,2.698
C029-M24_stoolx103.SR_stool.fasta,0,0.000
C029-M24_stoolx103.SR_stool.fasta,1,5.234
C029-M24_stoolx83_sub.SR_stool.fasta,0,0.000
C029-M24_stoolx83_sub.SR_stool.fasta,2,6.056
C029-M24_stoolxbin.93.SR_stool.fasta,0,0.000
C029-M24_stoolxbin.93.SR_stool.fasta,1,0.000
C029-M24_stoolxC029-M24_stool.003_sub.SR_stool.fasta,0,0.000
C029-M24_stoolxC029-M24_stool.003_sub.SR_stool.fasta,2,0.000
C029-M24_stoolxC029-M24_stool.003_sub.SR_stool.fasta,3,3.267
C029-M24_stoolxC029-M24_stool.039.SR_stool.fasta,0,0.000
C029-M24_stoolxC029-M24_stool.039.SR_stool.fasta,1,0.000
C029-M24x65.LR_stool.fasta,0,0.000
C029-M24x65.LR_stool.fasta,0.5,0.697
C029-M24x65.LR_stool.fasta,2,13.587
C029-M24x66.LR_stool.fasta,0,0.000
C029-M24x66.LR_stool.fasta,2,4.049
C029-M24x8.LR_stool.fasta,0,0.000
C029-M24x8.LR_stool.fasta,1,7.608
C029-M24xC029_FIXED__C029-M24.004.LR_stool.fasta,0,0.000
C029-M24xC029_FIXED__C029-M24.004.LR_stool.fasta,0.5,0.000
C029-M24xC029_FIXED__C029-M24.021_sub.LR_stool.fasta,0,0.000
C029-M24xC029_FIXED__C029-M24.021_sub.LR_stool.fasta,2,2.385
C029-M36x105.SR_stool.fasta,0,0.000
C029-M36x105.SR_stool.fasta,1,0.000
C029-M36x16.LR_stool.fasta,0,0.000
C029-M36x16.LR_stool.fasta,0.5,0.000
C029-M36x16.LR_stool.fasta,3,13.551
C029-M36x70.SR_stool.fasta,0,0.000
C029-M36x70.SR_stool.fasta,0.5,14.001
C029-M36x70.SR_stool.fasta,2,20.941
C039-M00_WCxC039-M00_WC.001.SR_plate.fasta,0,0.000
C039-M00_WCxC039-M00_WC.001.SR_plate.fasta,3,3.258
C039-M00x33.LR_stool.fasta,0,0.000
C039-M00x33.LR_stool.fasta,2,14.573
C039-M00x53.LR_stool.fasta,0,0.000
C039-M00x53.LR_stool.fasta,2,5.285
C039-M00xbin.36.LR_stool.fasta,0,0.000
C039-M00xbin.36.LR_stool.fasta,2,3.716
C039-M00xbin.40.SR_stool.fasta,0,0.000
C039-M00xbin.40.SR_stool.fasta,2,2.602
C039-M00xbin.51.SR_stool.fasta,0,0.000
C039-M00xbin.51.SR_stool.fasta,2,5.567
C039-M00xC039_FIXED__C039-M00.005_sub.LR_stool.fasta,0,0.000
C039-M00xC039_FIXED__C039-M00.005_sub.LR_stool.fasta,2,1.162
C039-M06_stoolx83_sub.SR_stool.fasta,0,0.000
C039-M06_stoolx83_sub.SR_stool.fasta,1,0.000
C039-M06_stoolxbin.113.SR_stool.fasta,0,0.000
C039-M06_stoolxbin.113.SR_stool.fasta,1,1.724
C039-M06_stoolxC039-M06_stool.010.SR_stool.fasta,0,0.000
C039-M06_stoolxC039-M06_stool.010.SR_stool.fasta,2,2.023
C039-M06_stoolxC039-M06_stool.019.SR_stool.fasta,0,0.000
C039-M06_stoolxC039-M06_stool.019.SR_stool.fasta,2,0.000
C039-M06_WCxbin.6.SR_plate.fasta,0,0.000
C039-M06_WCxbin.6.SR_plate.fasta,2,0.000
C039-M06_WCxbin.6.SR_plate.fasta,3,0.596
C039-M24_LKVxC039-M24_LKV.001.SR_plate.fasta,0,0.000
C039-M24_LKVxC039-M24_LKV.001.SR_plate.fasta,2,0.000
C039-M24_stoolxbin.26.SR_stool.fasta,0,0.000
C039-M24_stoolxbin.26.SR_stool.fasta,2,2.349
C039-M24_stoolxbin.5.SR_stool.fasta,0,0.000
C039-M24_stoolxbin.5.SR_stool.fasta,2,1.411
C039-M24xbin.53.LR_stool.fasta,0,0.000
C039-M24xbin.53.LR_stool.fasta,2,0.000
C039-M36x28.LR_stool.fasta,0,0.000
C039-M36x28.LR_stool.fasta,1,12.413
C040-M00_LKVxC040-M00_LKV.001.SR_plate.fasta,0,0.000
C040-M00_LKVxC040-M00_LKV.001.SR_plate.fasta,2,1.060
C040-M00x100.SR_stool.fasta,0,0.000
C040-M00x100.SR_stool.fasta,0.5,7.475
C040-M00x23.LR_stool.fasta,0,0.000
C040-M00x23.LR_stool.fasta,0.5,0.000
C040-M00x27.LR_stool.fasta,0,0.000
C040-M00x27.LR_stool.fasta,0.5,0.000
C040-M00x27.LR_stool.fasta,2,7.362
C040-M00x27.LR_stool.fasta,3,17.669
C040-M00xbin.52_sub.SR_stool.fasta,0,0.000
C040-M00xbin.52_sub.SR_stool.fasta,0.5,4.316
C040-M00xbin.55.SR_stool.fasta,0,0.000
C040-M00xbin.55.SR_stool.fasta,0.5,0.000
C040-M00xbin.55.SR_stool.fasta,3,0.000
C040-M00xbin.58.SR_stool.fasta,0,0.000
C040-M00xbin.58.SR_stool.fasta,0.5,0.000
C040-M00xbin.70.SR_stool.fasta,0,0.000
C040-M00xbin.70.SR_stool.fasta,0.5,2.033
C040-M00xbin.76.SR_stool.fasta,0,0.000
C040-M00xbin.76.SR_stool.fasta,0.5,2.489
C040-M00xbin.92.SR_stool.fasta,0,0.000
C040-M00xbin.92.SR_stool.fasta,0.5,0.000
C040-M00xbin.92.SR_stool.fasta,3,3.651
C040-M00xC040-M00.036.SR_stool.fasta,0,0.000
C040-M00xC040-M00.036.SR_stool.fasta,3,8.846
C040-M00xC040-M00.037.SR_stool.fasta,0,0.000
C040-M00xC040-M00.037.SR_stool.fasta,0.5,0.000
C040-M06_LKVxC040-M06_LKV.001.SR_plate.fasta,0,0.000
C040-M06_LKVxC040-M06_LKV.001.SR_plate.fasta,0.5,8.590
C040-M06_LKVxC040-M06_LKV.001.SR_plate.fasta,2,12.176
C040-M06_LKVxC040-M06_LKV.001.SR_plate.fasta,3,29.148
C040-M06_WCxC040-M06_WC.001.SR_plate.fasta,0,0.000
C040-M06_WCxC040-M06_WC.001.SR_plate.fasta,0.5,17.212
C040-M06_WCxC040-M06_WC.002.SR_plate.fasta,0,0.000
C040-M06_WCxC040-M06_WC.002.SR_plate.fasta,0.5,0.000
C040-M06x67.SR_stool.fasta,0,0.000
C040-M06x67.SR_stool.fasta,0.5,1.022
C040-M06xbin.21.SR_stool.fasta,0,0.000
C040-M06xbin.21.SR_stool.fasta,0.5,0.000
C040-M06xbin.21.SR_stool.fasta,3,6.421
C040-M06xbin.3.SR_stool.fasta,0,0.000
C040-M06xbin.3.SR_stool.fasta,0.5,7.587
C040-M06xbin.55_sub.SR_stool.fasta,0,0.000
C040-M06xbin.55_sub.SR_stool.fasta,0.5,0.879
C040-M06xbin.55_sub.SR_stool.fasta,3,11.571
C040-M06xbin.58.SR_stool.fasta,0,0.000
C040-M06xbin.58.SR_stool.fasta,0.5,3.187
C040-M06xC040-M06.001.SR_stool.fasta,0,0.000
C040-M06xC040-M06.001.SR_stool.fasta,1.5,13.471
C040-M06xC040-M06.006.SR_stool.fasta,0,0.000
C040-M06xC040-M06.006.SR_stool.fasta,0.5,0.000
C040-M24_LKVxC040-M24_LKV.001.SR_plate.fasta,0,0.000
C040-M24_LKVxC040-M24_LKV.001.SR_plate.fasta,2,4.545
C040-M24_LKVxC040-M24_LKV.001.SR_plate.fasta,3,5.299
C040-M24x2.SR_stool.fasta,0,0.000
C040-M24x2.SR_stool.fasta,0.5,2.812
C040-M24x2.SR_stool.fasta,2,4.094
C040-M24x41.SR_stool.fasta,0,0.000
C040-M24x41.SR_stool.fasta,0.5,0.000
C040-M24x48.SR_stool.fasta,0,0.000
C040-M24x48.SR_stool.fasta,2,10.299
C040-M24xbin.44.LR_stool.fasta,0,0.000
C040-M24xbin.44.LR_stool.fasta,0.5,1.491
C040-M24xC040-M24.007.SR_stool.fasta,0,0.000
C040-M24xC040-M24.007.SR_stool.fasta,0.5,1.326
C040-M24xC040-M24.007.SR_stool.fasta,2,5.305
C040-M24xC040-M24.007.SR_stool.fasta,3,13.279
C040-M36_LKVx30_sub.SR_plate.fasta,0,0.000
C040-M36_LKVx30_sub.SR_plate.fasta,3,0.000
C040-M36x30.LR_stool.fasta,0,0.000
C040-M36x30.LR_stool.fasta,1,0.000
C040-M36x46.SR_stool.fasta,0,0.000
C040-M36x46.SR_stool.fasta,1,2.734
C040-M36x5_sub.LR_stool.fasta,0,0.000
C040-M36x5_sub.LR_stool.fasta,0.5,9.155
C040-M36xbin.27_sub.LR_stool.fasta,0,0.000
C040-M36xbin.27_sub.LR_stool.fasta,1,5.206
C043-M01_BAPx8.SR_plate.fasta,0,0.000
C043-M01_BAPx8.SR_plate.fasta,0.5,0.000
C043-M01_stoolx124.SR_stool.fasta,0,0.000
C043-M01_stoolx124.SR_stool.fasta,0.5,2.005
C043-M01_stoolx136.SR_stool.fasta,0,0.000
C043-M01_stoolx136.SR_stool.fasta,0.5,0.000
C043-M01_stoolx18.SR_stool.fasta,0,0.000
C043-M01_stoolx18.SR_stool.fasta,0.5,0.000
C043-M01_stoolx30.SR_stool.fasta,0,0.000
C043-M01_stoolx30.SR_stool.fasta,0.5,0.000
C043-M01_stoolx37.SR_stool.fasta,0,0.000
C043-M01_stoolx37.SR_stool.fasta,0.5,0.000
C043-M01_stoolx37.SR_stool.fasta,1.916666667,0.000
C043-M01_stoolx42.SR_stool.fasta,0,0.000
C043-M01_stoolx42.SR_stool.fasta,0.5,0.000
C043-M01_stoolx51.SR_stool.fasta,0,0.000
C043-M01_stoolx51.SR_stool.fasta,0.5,0.000
C043-M01_stoolx51.SR_stool.fasta,2.916666667,6.703
C043-M01_stoolxbin.84.SR_stool.fasta,0,0.000
C043-M01_stoolxbin.84.SR_stool.fasta,2.916666667,2.947
C043-M01_stoolxC043-M01_stool.037_sub.SR_stool.fasta,0,0.000
C043-M01_stoolxC043-M01_stool.037_sub.SR_stool.fasta,0.5,0.000
C043-M01xbin.23.LR_stool.fasta,0,0.000
C043-M01xbin.23.LR_stool.fasta,0.5,0.000
C043-M01xbin.23.LR_stool.fasta,1.916666667,0.000
C043-M01xbin.23.LR_stool.fasta,2.916666667,0.000
C043-M07_stoolx112.SR_stool.fasta,0,0.000
C043-M07_stoolx112.SR_stool.fasta,0.5,0.000
C043-M07_stoolx112.SR_stool.fasta,1.916666667,0.000
C043-M07_stoolx112.SR_stool.fasta,2.916666667,0.000
C043-M07_stoolx120.SR_stool.fasta,0,0.000
C043-M07_stoolx120.SR_stool.fasta,0.5,3.953
C043-M07_stoolx34.SR_stool.fasta,0,0.000
C043-M07_stoolx34.SR_stool.fasta,0.5,1.509
C043-M07_stoolx55.SR_stool.fasta,0,0.000
C043-M07_stoolx55.SR_stool.fasta,0.5,0.000
C043-M07_stoolx90.SR_stool.fasta,0,0.000
C043-M07_stoolx90.SR_stool.fasta,0.5,1.349
C043-M07_stoolxbin.28_sub.SR_stool.fasta,0,0.000
C043-M07_stoolxbin.28_sub.SR_stool.fasta,1.916666667,1.908
C043-M07_stoolxbin.28_sub.SR_stool.fasta,2.916666667,14.142
C043-M07_stoolxC043-M07_stool.004.SR_stool.fasta,0,0.000
C043-M07_stoolxC043-M07_stool.004.SR_stool.fasta,0.5,0.946
C043-M07_stoolxC043-M07_stool.004.SR_stool.fasta,1.916666667,2.436
C043-M07_stoolxC043-M07_stool.004.SR_stool.fasta,2.916666667,5.767
C043-M07_stoolxC043-M07_stool.010.SR_stool.fasta,0,0.000
C043-M07_stoolxC043-M07_stool.010.SR_stool.fasta,1.416666667,3.318
C043-M07_stoolxC043-M07_stool.014_sub.SR_stool.fasta,0,0.000
C043-M07_stoolxC043-M07_stool.014_sub.SR_stool.fasta,0.5,0.000
C043-M07_stoolxC043-M07_stool.018.SR_stool.fasta,0,0.000
C043-M07_stoolxC043-M07_stool.018.SR_stool.fasta,0.5,1.240
C043-M07_WCxC043-M07_WC.002.SR_plate.fasta,0,0.000
C043-M07_WCxC043-M07_WC.002.SR_plate.fasta,1.916666667,2.774
C043-M07x1.LR_stool.fasta,0,0.000
C043-M07x1.LR_stool.fasta,0.5,7.691
C043-M07x1.LR_stool.fasta,1.916666667,9.623
C043-M07x1.LR_stool.fasta,2.916666667,37.632
C043-M07x51_sub.LR_stool.fasta,0,0.000
C043-M07x51_sub.LR_stool.fasta,1.916666667,7.779
C043-M07xbin.12.LR_stool.fasta,0,0.000
C043-M07xbin.12.LR_stool.fasta,0.5,0.000
C043-M07xbin.72.LR_stool.fasta,0,0.000
C043-M07xbin.72.LR_stool.fasta,2.916666667,4.403
C043-M24_BAPxbin.1.SR_plate.fasta,0,0.000
C043-M24_BAPxbin.1.SR_plate.fasta,1,0.000
C043-M24_LKVxbin.6.SR_plate.fasta,0,0.000
C043-M24_LKVxbin.6.SR_plate.fasta,1.916666667,0.582
C043-M24x32.SR_stool.fasta,0,0.000
C043-M24x32.SR_stool.fasta,0.5,2.756
C043-M24x32.SR_stool.fasta,1.916666667,10.711
C043-M24x32.SR_stool.fasta,2.916666667,16.703
C043-M24x47.LR_stool.fasta,0,0.000
C043-M24x47.LR_stool.fasta,0.5,0.000
C043-M24x47.LR_stool.fasta,1.916666667,20.521
C043-M24x47.LR_stool.fasta,2.916666667,34.295
C043-M24x7.LR_stool.fasta,0,0.000
C043-M24x7.LR_stool.fasta,0.5,1.052
C043-M24x7.LR_stool.fasta,1.916666667,6.346
C043-M24x8.SR_stool.fasta,0,0.000
C043-M24x8.SR_stool.fasta,0.5,5.975
C043-M24x8.SR_stool.fasta,1.916666667,6.971
C043-M24x8.SR_stool.fasta,2.916666667,13.942
C043-M24x99.SR_stool.fasta,0,0.000
C043-M24x99.SR_stool.fasta,1,18.307
C043-M24xbin.24.SR_stool.fasta,0,0.000
C043-M24xbin.24.SR_stool.fasta,0.5,2.915
C043-M24xbin.24.SR_stool.fasta,1.916666667,8.731
C043-M24xbin.51.SR_stool.fasta,0,0.000
C043-M24xbin.51.SR_stool.fasta,1.916666667,9.368
C043-M24xbin.56.SR_stool.fasta,0,0.000
C043-M24xbin.56.SR_stool.fasta,1.916666667,1.894
C043-M24xbin.56.SR_stool.fasta,2.916666667,3.810
C043-M24xbin.7.SR_stool.fasta,0,0.000
C043-M24xbin.7.SR_stool.fasta,1.916666667,7.687
C043-M24xC043_FIXED__C043-M24.008.LR_stool.fasta,0,0.000
C043-M24xC043_FIXED__C043-M24.008.LR_stool.fasta,0.5,2.637
C043-M24xC043_FIXED__C043-M24.008.LR_stool.fasta,2.916666667,26.339
C043-M36_LKVxC043-M36_LKV.001.SR_plate.fasta,0,0.000
C043-M36_LKVxC043-M36_LKV.001.SR_plate.fasta,0.5,0.000
C043-M36_LKVxC043-M36_LKV.001.SR_plate.fasta,1.916666667,0.000
C043-M36_LKVxC043-M36_LKV.001.SR_plate.fasta,2.916666667,0.000
C043-M36_LKVxC043-M36_LKV.004.SR_plate.fasta,0,0.000
C043-M36_LKVxC043-M36_LKV.004.SR_plate.fasta,0.5,0.913
C043-M36_LKVxC043-M36_LKV.004.SR_plate.fasta,2.916666667,10.335
C043-M36x12.LR_stool.fasta,0,0.000
C043-M36x12.LR_stool.fasta,1.916666667,7.225
C043-M36x6.LR_stool.fasta,0,0.000
C043-M36x6.LR_stool.fasta,0.5,0.000
C043-M36x6.LR_stool.fasta,2.916666667,0.000
C043-M36x77.SR_stool.fasta,0,0.000
C043-M36x77.SR_stool.fasta,1.916666667,2.636
C043-M36x97_sub.SR_stool.fasta,0,0.000
C043-M36x97_sub.SR_stool.fasta,0.5,0.000
C043-M36x97_sub.SR_stool.fasta,2.916666667,25.936
C043-M36xbin.18.LR_stool.fasta,0,0.000
C043-M36xbin.18.LR_stool.fasta,2.916666667,2.149
C043-M36xbin.29.SR_stool.fasta,0,0.000
C043-M36xbin.29.SR_stool.fasta,1,0.000
C043-M36xbin.65.SR_stool.fasta,0,0.000
C043-M36xbin.65.SR_stool.fasta,1,0.000
C043-M36xbin.79.SR_stool.fasta,0,0.000
C043-M36xbin.79.SR_stool.fasta,0.5,0.000
C043-M36xC043_FIXED__C043-M36.023_sub.LR_stool.fasta,0,0.000
C043-M36xC043_FIXED__C043-M36.023_sub.LR_stool.fasta,1.916666667,18.903
C043-M36xC043_FIXED__C043-M36.023_sub.LR_stool.fasta,2.916666667,29.304
C047-M00_stoolx12.SR_stool.fasta,0,0.000
C047-M00_stoolx12.SR_stool.fasta,0.583333333,0.000
C047-M00_stoolx23_sub.SR_stool.fasta,0,0.000
C047-M00_stoolx23_sub.SR_stool.fasta,0.583333333,0.000
C047-M00xC047__C047-M00.003.LR_stool.fasta,0,0.000
C047-M00xC047__C047-M00.003.LR_stool.fasta,0.583333333,1.296
C047-M00xC047__C047-M00.003.LR_stool.fasta,2,3.889
C047-M07_stoolx136_sub.SR_stool.fasta,0,0.000
C047-M07_stoolx136_sub.SR_stool.fasta,0.583333333,0.000
C047-M07_stoolx84.SR_stool.fasta,0,0.000
C047-M07_stoolx84.SR_stool.fasta,1.416666667,3.228
C047-M07_stoolx88.SR_stool.fasta,0,0.000
C047-M07_stoolx88.SR_stool.fasta,1.416666667,1.387
C047-M07_stoolxbin.33.SR_stool.fasta,0,0.000
C047-M07_stoolxbin.33.SR_stool.fasta,1.416666667,0.000
C047-M24_stoolx1_sub.SR_stool.fasta,0,0.000
C047-M24_stoolx1_sub.SR_stool.fasta,1.416666667,1.062
C047-M24_stoolx81.SR_stool.fasta,0,0.000
C047-M24_stoolx81.SR_stool.fasta,1.416666667,0.934
C047-M24_stoolx85.SR_stool.fasta,0,0.000
C047-M24_stoolx85.SR_stool.fasta,0.583333333,1.481
C047-M24_stoolx93.SR_stool.fasta,0,0.000
C047-M24_stoolx93.SR_stool.fasta,0.583333333,0.593
C047-M24_stoolx93.SR_stool.fasta,2,1.780
C047-M24_stoolxbin.56_sub.SR_stool.fasta,0,0.000
C047-M24_stoolxbin.56_sub.SR_stool.fasta,1.416666667,2.407
C047-M24_stoolxbin.72.SR_stool.fasta,0,0.000
C047-M24_stoolxbin.72.SR_stool.fasta,1.416666667,0.000
C047-M24_WCxC047-M24_WC.004.SR_plate.fasta,0,0.000
C047-M24_WCxC047-M24_WC.004.SR_plate.fasta,1.416666667,5.418
C047-M24xbin.49.LR_stool.fasta,0,0.000
C047-M24xbin.49.LR_stool.fasta,1.416666667,4.555