Comparison_type___Family,Bray_Curtis_distance,Family,Weaning
before___mother___same,0.382934005,Same,Pre
before___mother___same,0.304678364,Same,Pre
before___mother___same,0.354117646,Same,Pre
before___mother___same,0.288690476,Same,Pre
before___mother___different,0.254098363,Different,Pre
before___mother___different,0.364513016,Different,Pre
before___mother___different,0.266848816,Different,Pre
before___mother___different,0.384615387,Different,Pre
before___mother___different,0.386274509,Different,Pre
before___mother___different,0.327777779,Different,Pre
before___mother___different,0.366153846,Different,Pre
before___mother___different,0.218947368,Different,Pre
before___mother___different,0.285555556,Different,Pre
before___mother___different,0.265796703,Different,Pre
before___mother___different,0.236842106,Different,Pre
before___mother___different,0.433298318,Different,Pre
after___mother___same,0.262583408,Same,Post
after___mother___same,0.241843972,Same,Post
after___mother___same,0.259318183,Same,Post
after___mother___same,0.220679012,Same,Post
after___mother___different,0.26520172,Different,Post
after___mother___different,0.204685172,Different,Post
after___mother___different,0.198922283,Different,Post
after___mother___different,0.269849247,Different,Post
after___mother___different,0.285479799,Different,Post
after___mother___different,0.25,Different,Post
after___mother___different,0.298291456,Different,Post
after___mother___different,0.24680851,Different,Post
after___mother___different,0.237592593,Different,Post
after___mother___different,0.196473437,Different,Post
after___mother___different,0.200417932,Different,Post
after___mother___different,0.20211039,Different,Post